Status Response: [00 01 00 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 00 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 00 15 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
unknown packet (crc ok):  aa 03 06 00 01 ff ff 04 0f 00 05
unknown packet (crc ok):  aa 04 06 00 01 00 78 04 0f 00 05
unknown packet (crc ok):  aa 03 06 00 01 ff ff 04 0f 00 05
unknown packet (crc ok):  aa 04 06 00 01 00 78 04 0f 00 05 // Start, no pump
Status Response: [01 00 00 15 7f 00 71 01 26 01] (?: 01,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.3V, ?: 01 26 01)
Status Response: [00 01 11 15 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 11 15 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 11 15 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 11 15 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 11 15 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 11 15 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
